Wavelength (nm),Air_n,Air_k,SiO2_n,SiO2_k,ITO_n,ITO_k,Al_n,Al_k,TCTA_n,TCTA_k,PEDOT_n,PEDOT_k,Irppy_n,Irppy_k,TPBi_n,TPBi_k,B3PyMPM_n,B3PyMPM_k,CBP_n,CBP_k,LiF_n,LiF_k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322,1,0,1.4592,0,2.2934,0.03253,0.24729,3.30142,1.86246438,0.285389452,1.64824,0.01458,1.90245,0.13594,2.11537,0.44217,2.55E+00,2.03E-01,1.91E+00,3.80E-01,1.39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,1,0,1.4591,0,2.28999,0.03174,0.24881,3.31258,1.86542402,0.294878667,1.64669,0.01434,1.89433,0.13567,2.12301,0.42786,2.55E+00,1.92E-01,1.92E+00,3.81E-01,1.39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
324,1,0,1.459,0,2.28658,0.03094,0.25032,3.32374,1.86838366,0.304367881,1.6459,0.01411,1.88622,0.13541,2.13064,0.41356,2.54E+00,1.80E-01,1.93E+00,3.82E-01,1.39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,1,0,1.4589,0,2.28316,0.03014,0.25184,3.3349,1.873581765,0.313034052,1.64511,0.01387,1.87888,0.13612,2.13336,0.40177,2.54E+00,1.69E-01,1.94E+00,3.82E-01,1.39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326,1,0,1.4589,0,2.27975,0.02935,0.25335,3.34606,1.87877987,0.321700223,1.64432,0.01364,1.87155,0.13682,2.13609,0.38999,2.53E+00,1.58E-01,1.95E+00,3.81E-01,1.39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,1,0,1.4589,0,2.27634,0.02855,0.25487,3.35722,1.88584933,0.329363792,1.64326,0.0134,1.86496,0.13835,2.14253,0.37085,2.53E+00,1.47E-01,1.96E+00,3.81E-01,1.39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328,1,0,1.4588,0,2.27293,0.02775,0.25639,3.36838,1.89291879,0.33702736,1.64162,0.01317,1.85838,0.13987,2.14897,0.35171,2.52E+00,1.36E-01,1.97E+00,3.81E-01,1.39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329,1,0,1.4588,0,2.26952,0.02708,0.2579,3.37954,1.9014796,0.343664782,1.63998,0.01293,1.85253,0.142,2.1527,0.33444,2.52E+00,1.25E-01,1.98E+00,3.79E-01,1.39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330,1,0,1.4587,0,2.26611,0.02667,0.25942,3.3907,1.91004041,0.350302204,1.63834,0.0127,1.84668,0.14413,2.15643,0.31717,2.51E+00,1.14E-01,1.99E+00,3.77E-01,1.39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,1,0,1.4587,0,2.26269,0.02626,0.26097,3.40183,1.919751255,0.355982021,1.6367,0.01246,1.84155,0.14658,2.15773,0.30214,2.50E+00,1.03E-01,2.00E+00,3.74E-01,1.39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,1,0,1.4586,0,2.25928,0.02585,0.26251,3.41297,1.9294621,0.361661838,1.63506,0.01223,1.83642,0.14903,2.15903,0.28711,2.50E+00,9.23E-02,2.01E+00,3.70E-01,1.39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333,1,0,1.4586,0,2.25587,0.02544,0.26406,3.4241,1.94007666,0.366444594,1.63342,0.01199,1.83199,0.15154,2.15675,0.2761,2.49E+00,8.14E-02,2.02E+00,3.65E-01,1.39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334,1,0,1.4586,0,2.25246,0.02503,0.2656,3.43524,1.95069122,0.371227349,1.6318,0.01176,1.82757,0.15404,2.15447,0.26509,2.48E+00,7.06E-02,2.03E+00,3.59E-01,1.39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
335,1,0,1.4585,0,2.24904,0.02462,0.26715,3.44638,1.962090535,0.375051376,1.6318,0.01152,1.82382,0.15641,2.15016,0.24268,2.47E+00,5.91E-02,2.04E+00,3.51E-01,1.39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
336,1,0,1.4584,0,2.24557,0.02421,0.26869,3.45751,1.97348985,0.378875402,1.6318,0.01129,1.82007,0.15878,2.14586,0.22026,2.46E+00,4.76E-02,2.05E+00,3.43E-01,1.39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
337,1,0,1.4583,0,2.24211,0.0238,0.27024,3.46865,1.98565961,0.381469868,1.6318,0.01105,1.81697,0.16091,2.14392,0.20354,2.45E+00,3.90E-02,2.05E+00,3.40E-01,1.39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
338,1,0,1.4583,0,2.23864,0.02339,0.27179,3.47978,1.99782937,0.384064333,1.63167,0.01082,1.81386,0.16305,2.14198,0.18681,2.44E+00,3.04E-02,2.06E+00,3.37E-01,1.39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339,1,0,1.4582,0,2.23518,0.02298,0.27333,3.49092,2.01077521,0.384927002,1.63003,0.01058,1.81137,0.16496,2.13608,0.16713,2.43E+00,2.37E-02,2.07E+00,3.29E-01,1.39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340,1,0,1.4581,0,2.23171,0.02257,0.27488,3.50206,2.02372105,0.385789671,1.62839,0.01035,1.80887,0.16687,2.13018,0.14745,2.42E+00,1.69E-02,2.08E+00,3.21E-01,1.39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341,1,0,1.4581,0,2.22824,0.02216,0.27707,3.51615,2.037346795,0.384257988,1.62675,0.01011,1.80694,0.16864,2.12194,0.12815,2.41E+00,8.44E-03,2.10E+00,3.11E-01,1.39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342,1,0,1.458,0,2.22478,0.02175,0.27925,3.53025,2.05097254,0.382726304,1.62511,0.00988,1.80502,0.1704,2.11369,0.10884,2.39E+00,0.00E+00,2.11E+00,3.02E-01,1.39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
343,1,0,1.458,0,2.22131,0.02134,0.28144,3.54434,2.06496275,0.378138833,1.62347,0.00964,1.8036,0.17214,2.10122,0.09687,2.38E+00,0.00E+00,2.13E+00,2.88E-01,1.39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,1,0,1.4579,0,2.21785,0.02093,0.28363,3.55843,2.07895296,0.373551362,1.62182,0.00941,1.80218,0.17387,2.08875,0.0849,2.37E+00,0.00E+00,2.14E+00,2.74E-01,1.39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
345,1,0,1.4579,0,2.21438,0.02052,0.28582,3.57253,2.092718275,0.365445656,1.62018,0.00917,1.8012,0.17567,2.07599,0.07112,2.36E+00,0.00E+00,2.16E+00,2.53E-01,1.39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
