# Wavelength (nm),Intensity (norm)
5.920000000000000000e+02,1.868293043576493839e-01
5.930000000000000000e+02,1.812612947773172001e-01
5.940000000000000000e+02,1.757592976748785785e-01
5.950000000000000000e+02,1.702010599396475699e-01
5.960000000000000000e+02,1.647790358027964586e-01
5.970000000000000000e+02,1.595658647968107580e-01
5.980000000000000000e+02,1.548156413628363204e-01
5.990000000000000000e+02,1.504510377325629367e-01
6.000000000000000000e+02,1.460178872640279235e-01
6.010000000000000000e+02,1.416042655971551101e-01
6.020000000000000000e+02,1.376482250107567973e-01
6.030000000000000000e+02,1.340451040313243025e-01
6.040000000000000000e+02,1.307368158471025887e-01
6.050000000000000000e+02,1.278492364468495623e-01
6.060000000000000000e+02,1.250685699982128085e-01
6.070000000000000000e+02,1.222212707158484152e-01
6.080000000000000000e+02,1.192889016243622036e-01
6.090000000000000000e+02,1.159842611324458928e-01
6.100000000000000000e+02,1.127099601765301773e-01
6.110000000000000000e+02,1.098458070668607567e-01
6.120000000000000000e+02,1.072229144768381548e-01
6.130000000000000000e+02,1.046264771681525846e-01
6.140000000000000000e+02,1.020565083750618329e-01
6.150000000000000000e+02,9.956809404136539310e-02
6.160000000000000000e+02,9.719025193156639875e-02
6.170000000000000000e+02,9.488811143065080389e-02
6.180000000000000000e+02,9.256647686799959751e-02
6.190000000000000000e+02,9.016458314893599502e-02
6.200000000000000000e+02,8.790060363037924263e-02
6.210000000000000000e+02,8.577694033011958041e-02
6.220000000000000000e+02,8.359535068348059039e-02
6.230000000000000000e+02,8.135065016997021503e-02
6.240000000000000000e+02,7.921326625293906298e-02
6.250000000000000000e+02,7.723885229498969607e-02
6.260000000000000000e+02,7.530352571744500234e-02
6.270000000000000000e+02,7.342910154000177603e-02
6.280000000000000000e+02,7.157679842446690310e-02
6.290000000000000000e+02,6.965707999971201825e-02
6.300000000000000000e+02,6.790372281259951515e-02
6.310000000000000000e+02,6.618215100415196506e-02
6.320000000000000000e+02,6.427762881591295163e-02
6.330000000000000000e+02,6.234780768961197678e-02
6.340000000000000000e+02,6.054612726443444476e-02
6.350000000000000000e+02,5.888155705860256134e-02
6.360000000000000000e+02,5.727360962475690903e-02
6.370000000000000000e+02,5.565098539901392610e-02
6.380000000000000000e+02,5.403883608831760305e-02
6.390000000000000000e+02,5.245565160509314123e-02
6.400000000000000000e+02,5.091170007910910539e-02
6.410000000000000000e+02,4.945207724381017744e-02
6.420000000000000000e+02,4.812807908241914512e-02
6.430000000000000000e+02,4.682905561977405984e-02
6.440000000000000000e+02,4.557892612256151527e-02
6.450000000000000000e+02,4.455573933234122791e-02
6.460000000000000000e+02,4.368267534544589131e-02
6.470000000000000000e+02,4.282526086839600482e-02
6.480000000000000000e+02,4.187846221418239229e-02
6.490000000000000000e+02,4.075023181125957822e-02
6.500000000000000000e+02,3.944906274456908696e-02
6.510000000000000000e+02,3.799166657314458073e-02
6.520000000000000000e+02,3.664817104145350751e-02
6.530000000000000000e+02,3.553687883422917276e-02
6.540000000000000000e+02,3.448887284779206253e-02
6.550000000000000000e+02,3.336770126712194917e-02
6.560000000000000000e+02,3.220719085514903851e-02
6.570000000000000000e+02,3.117680628296918069e-02
6.580000000000000000e+02,3.028819369744411433e-02
6.590000000000000000e+02,2.942317944785406009e-02
6.600000000000000000e+02,2.858064358513291020e-02
6.610000000000000000e+02,2.777382036707808435e-02
6.620000000000000000e+02,2.693190651447340683e-02
6.630000000000000000e+02,2.600945393176035472e-02
6.640000000000000000e+02,2.516712154575283938e-02
6.650000000000000000e+02,2.448938858681842801e-02
6.660000000000000000e+02,2.379302841003414978e-02
6.670000000000000000e+02,2.299292488637595666e-02
6.680000000000000000e+02,2.218368310770864674e-02
6.690000000000000000e+02,2.145206852243429149e-02
6.700000000000000000e+02,2.083137686888894904e-02
6.710000000000000000e+02,2.021498138628109384e-02
6.720000000000000000e+02,1.959263048766440168e-02
6.730000000000000000e+02,1.902532748435604992e-02
6.740000000000000000e+02,1.844791350809047228e-02
6.750000000000000000e+02,1.783217477552581295e-02
6.760000000000000000e+02,1.732391806766284473e-02
6.770000000000000000e+02,1.696478332237889505e-02
6.780000000000000000e+02,1.656595903796051136e-02
6.790000000000000000e+02,1.604007099014693669e-02
6.800000000000000000e+02,1.549624390588896783e-02
6.810000000000000000e+02,1.500877159989683421e-02
6.820000000000000000e+02,1.456172333434690297e-02
6.830000000000000000e+02,1.407839169676313069e-02
6.840000000000000000e+02,1.361302556413935411e-02
6.850000000000000000e+02,1.323435705434642708e-02
6.860000000000000000e+02,1.289809772366530896e-02
6.870000000000000000e+02,1.257668723023288963e-02
6.880000000000000000e+02,1.231481104550213174e-02
6.890000000000000000e+02,1.210289087539215790e-02
6.900000000000000000e+02,1.183913211748971982e-02
6.910000000000000000e+02,1.153279875225300156e-02
6.920000000000000000e+02,1.128969867077232216e-02
6.930000000000000000e+02,1.111795109020639709e-02
6.940000000000000000e+02,1.097091186894823787e-02
6.950000000000000000e+02,1.084328895816111249e-02
6.960000000000000000e+02,1.072260079845983004e-02
6.970000000000000000e+02,1.056912476506545635e-02
6.980000000000000000e+02,1.038108085030423934e-02
6.990000000000000000e+02,1.016007536221634304e-02
7.000000000000000000e+02,9.959437396878663418e-03
7.010000000000000000e+02,9.809311284989259000e-03
7.020000000000000000e+02,9.628620654716733146e-03
7.030000000000000000e+02,9.390180686262968035e-03
7.040000000000000000e+02,9.166199144452874883e-03
7.050000000000000000e+02,8.959169032599049662e-03
7.060000000000000000e+02,8.729151014951112494e-03
7.070000000000000000e+02,8.467762843476632495e-03
7.080000000000000000e+02,8.197957684043001569e-03
7.090000000000000000e+02,7.949697896303554306e-03
7.100000000000000000e+02,7.755043469772531298e-03
7.110000000000000000e+02,7.621031721033704430e-03
7.120000000000000000e+02,7.502318774308684018e-03
7.130000000000000000e+02,7.376558585306542890e-03
7.140000000000000000e+02,7.243241635102079523e-03
7.150000000000000000e+02,7.097221451694324217e-03
7.160000000000000000e+02,6.927644289407172869e-03
7.170000000000000000e+02,6.759225124677296047e-03
7.180000000000000000e+02,6.608791316294103033e-03
7.190000000000000000e+02,6.436183508971345807e-03
7.200000000000000000e+02,6.249117275004912285e-03
7.210000000000000000e+02,6.071750097721759394e-03
7.220000000000000000e+02,5.887693003122015066e-03
7.230000000000000000e+02,5.658909080013687677e-03
7.240000000000000000e+02,5.402789797424803996e-03
7.250000000000000000e+02,5.136455322098542123e-03
7.260000000000000000e+02,4.886246789898429123e-03
7.270000000000000000e+02,4.707948251722782369e-03
7.280000000000000000e+02,4.599751577100033573e-03
7.290000000000000000e+02,4.547575515733733378e-03
7.300000000000000000e+02,4.515568463250689731e-03
7.310000000000000000e+02,4.463337810570974437e-03
7.320000000000000000e+02,4.397899368609441834e-03
7.330000000000000000e+02,4.353968249850928736e-03
7.340000000000000000e+02,4.335850550926271217e-03
7.350000000000000000e+02,4.316862699551432710e-03
7.360000000000000000e+02,4.304922090453716654e-03
7.370000000000000000e+02,4.294450483971514777e-03
7.380000000000000000e+02,4.246009791868532793e-03
7.390000000000000000e+02,4.153456009962325918e-03
7.400000000000000000e+02,4.054218927868425380e-03
7.410000000000000000e+02,3.981036790813180862e-03
7.420000000000000000e+02,3.900562577711562395e-03
7.430000000000000000e+02,3.765151306210657092e-03
